"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"P09972","11902.5","11975.5","11180.2","8465.12","9504.46","8050.72","3875.2","5627.46","5966.13","10183.7","6590.39","7314.16","7714.9","8331.05","9299.24","4932.24","8410.46","7501.45","6946.73","8372.3","7849.63","12123.8","10813.9","7164.56","7994.6","11257.2","10842.9","10205.9","9286.44","10413.7","8968.38","7633.96","7156.12","10051.3","7281.33","7656.61","8017.72","7629.9","9758.21","7759.68","11783.5","7425.91"
"P0C0L4","17545.7","5825.96","30150.3","6654.72","9861.68","41431.4","4471.01","8432.8","41549.9","6866.46","11604.8","4775.18","38865.2","27242.1","38414.3","19124.3","5435.19","45623.2","10123.9","31128.1","6848.28","18963.8","33587.1","9381.21","51751.7","48761","6921.56","6370.38","6624.04","3383.96","3292.23","29993.5","5600.57","6716.94","19899.8","32261.7","10123.4","34233","5825.7","50208.1","20122.3","35327.2"
"P0C0S5","8708.51","7300.38","7242.17","15841.6","10473.3","4482.99","72480.2","28743.7","7092.27","5520.76","6758.16","4178.18","2233.7","12854","6397.74","19818.7","5040.25","4395.99","36195.4","5398.48","4637.98","6112.06","3436.76","10990.3","8148.65","4006.91","4628.05","5408.15","6241.01","7217.16","6504.61","14443.7","7144.31","3786.21","10366.1","16083.5","5929.2","3230.69","10048.7","12172.3","6279.2","5885.23"
"P0C0S8","507544","251191","542139","451339","492211","484087","487676","616434","464188","376538","233992","324136","303022","542241","463794","530046","265749","269542","684868","313569","481327","461892","439424","402574","641273","604233","275412","385559","527201","293730","276028","443665","384778","316094","684116","548473","409456","348555","814937","589445","620645","668292"
"P0CG30","7273.68","12203.1","3875.53","4414.03","5065.43","4811.85","978.86","748.384",NA,"955.835","19451.9","1318.38","13952.1",NA,"780.993","713.696","5893.46","3208.02","1413.85","2504.86","2726.73","3317.8","4135.66","4276.26","2658.87","562.503","846.151","7601.21","4313.29","4205.95","654.112",NA,NA,"14378.3","807.837","5431.75","1303.87","859.081","8425.13","7142.25","3678.45","2114.17"
"P0CG39","4954.6",NA,"4347.47","3355.17","5021.03",NA,"5123.57",NA,"2223.87",NA,NA,NA,NA,"1455.62",NA,"5334.68",NA,NA,"1804.22",NA,"8610.84","139.052","158.805","5718.45","437.187",NA,NA,NA,NA,NA,NA,"4841","450.809",NA,NA,"5903.53",NA,NA,NA,"8560.57","1823.92","3668.92"
"P0CW19","4240.7","3490.28","3005.71","2572.67","2560.76","1654.69","1375.1","1653.59","4498.35","3245.24","2966.64","3651.48",NA,"3565.12","4309.52","2715.95","1738.31","927.856","1654.54","4681.6","3270.11","4167.05","4269.38","2335.9","2452.94","3639.53","3877.83","3392.05","1694.06",NA,"1286.7","4639.83","2181.9","2522.23","3984.61","2955.08","1252.5","3140","3053.51","2726.83","2747.59","3149.27"
"P0DI83","2463.21","6149.53","3307.66","2941.11","2919.19","5242.02",NA,"3542.57","3121.9","4566.2","3687.73","7403.63","5779.29","3895.27","5925.26","2390.28","6218.74","4779.56",NA,"4735.09","1455.46","4635.63","3052.15","2437.96","1962.45","2242.47","7034.82","3303.09","2094.4","7162.96","4741.63","2187.85","4130.44","6203.57","2994.49",NA,"3857.95","4375.29","4548.68","2189.09","2718.54","1585.27"
"P0DMM9",NA,NA,"300.429",NA,NA,NA,NA,NA,NA,"256.125",NA,NA,NA,NA,"244.936",NA,"379.359","548.944",NA,NA,"58.4862","143.65",NA,NA,NA,NA,"217.816","137.271","372.528","115.272","122.269",NA,NA,NA,NA,NA,"135.632",NA,"187.845",NA,"67.9909",NA
"P0DMV8","76471.4","63044.3","73739.4","49336.5","55118.4","58421.2","38203.8","40797.4","70155.7","50341","41538.5","38248.9","49509.8","68860.1","75400.1","51092","56634.6","53681.3","42474.7","64784.9","29564.6","43761","61332.7","44903.5","73306.1","69555.1","51130.9","50965.5","48067.1","48611.7","56137.7","54981.9","46689.7","46436.1","56497.8","57530.2","63599.6","64917.2","50091.4","40643.4","72442.4","69767.3"
